ID,first_name,last_name,age,email,occupation,political_views,nationality,university,,address,postal_code,country,city
352024f4-fed6-4154-9445-50c97b5affe5,Meg,Medina,22,homeothermic1905@outlook.com,Beautician,Moderate,Saudi,California State University,,,,,
86807531-60fd-4341-a692-3639e0b028d0,Lindsy,Fernandez,40,falconry2055@outlook.com,Nurse,Liberal,Jordanian,University of California,,,,,
95320fdd-0a38-4108-a73b-b152764fe694,Shizuko,Blackburn,28,chignon1833@yandex.com,Trade Union Official,Moderate,Israeli,Florida Polytechnic University (Florida Poly or FPU),,483 Parkridge Loop,23804,United States,Phenix City
e54dad40-4a08-4fcc-8126-f80bcc5d4648,Odis,Roberts,54,cycloids1831@live.com,Auction Worker,Moderate,Jordanian,Valdosta State University (VSU),,686 Union Nene,43142,United States,Lewiston
ccdef66d-2731-494e-af01-1aa0e2b7b3de,Miguel,Hernandez,31,nuzzles2029@protonmail.com,Rigger,Libertarian,Finnish,Southern Connecticut State University (SCSU),,1352 Kenny Place,54610,United States,New Bern
ac34df1b-68c1-401e-bd0f-80483e1b42e3,Ayana,Vaughn,42,censitaire1871@live.com,Art Restorer,Moderate,Romanian,University of Massachusetts Amherst (UMass Amherst),,46 Oriole Field,93838,United States,Twentynine Palms
3496962a-2a7d-4ad6-a9a6-a8fce09b7f83,Loreta,Pate,18,epicentral1992@yahoo.com,Magistrates Clerk,Communist,Latvian,Salem State University,,1231 Cosgrove Stravenue,81790,United States,University Place
63bf3ed5-7123-4d90-8d2e-81873793ea46,Guy,Stanley,62,litotes2035@yandex.com,Balloonist,Conservative,Ethiopian,University of West Georgia (UWG),,369 Farragut Glen,60419,United States,East Cleveland
2daa8ebb-1fad-4edd-8823-b8c770d578d9,Tyree,Montoya,31,optimacy2057@live.com,Bus Conductor,Conservative,Estonian,Georgia Southern University,,34 Diana Terrace,78185,United States,Leawood
5f67f208-4451-4568-a601-2479aa437827,Noe,Rodriguez,60,beggarman1974@yandex.com,Caulker,Liberal,Bolivian,Florida Gulf Coast University (FGCU),,1136 Yosemite Extension,51426,United States,Muncie
